,id,date,code,name,open,high,low,close,volume,money,change_pct
132,1634768,2018-01-02,852041,专业连锁,9838.84,10011.15,9668.17,9885.21,119820000.0,1391260000.0,0.45
133,1634769,2018-01-02,801155,中药,7864.2,7964.16,7800.43,7916.52,326082771.0,5228507029.09,0.59
134,1634770,2018-01-02,851232,啤酒,2767.49,2794.62,2719.04,2778.62,56137177.0,670558132.63,0.21
135,1634771,2018-01-02,801154,医药商业,8025.25,8124.0,7957.29,8077.0,76171154.0,1644086707.6,0.66
136,1634772,2018-01-02,851231,白酒,27406.97,27715.06,26933.66,27483.33,110849302.0,9172159617.03,0.62
137,1634773,2018-01-02,850161,农业综合,2285.34,2298.08,2260.93,2286.13,12128884.0,54225035.64,0.58
138,1634774,2018-01-02,851561,医疗服务,5161.3,5243.55,5074.6,5123.72,52573249.0,1538316702.66,-0.53
139,1634775,2018-01-02,801152,生物制品,8024.89,8202.67,7933.95,8100.55,142685364.0,4285854963.71,0.7
140,1634776,2018-01-02,850372,聚氨酯,10342.23,10570.26,10162.54,10468.59,87240000.0,1287750000.0,0.75
141,1634777,2018-01-02,850152,粮油加工,1827.12,1842.92,1802.98,1819.91,11307614.0,127926212.16,-0.68
142,1634778,2018-01-02,850344,其他纤维,1682.61,1707.74,1656.4,1693.88,14563272.0,379959259.28,1.12
143,1634779,2018-01-02,850345,氨纶,1642.05,1677.37,1638.92,1660.53,22243115.0,181131594.01,1.18
144,1634780,2018-01-02,850341,涤纶,4530.4,4860.3,4509.93,4830.36,181958305.0,3104305666.22,6.76
145,1634781,2018-01-02,850342,维纶,1865.84,1915.73,1860.85,1900.76,9993099.0,37918258.0,1.87
146,1634782,2018-01-02,850343,粘胶,2491.0,2551.05,2478.33,2525.89,27369229.0,120953885.77,1.48
147,1634783,2018-01-02,801016,种植业,2921.59,2945.13,2875.43,2919.03,120942060.0,1269841523.21,-0.05
148,1634784,2018-01-02,801017,畜禽养殖,2967.69,3002.73,2916.36,2984.26,148131479.0,1345498052.97,1.07
